"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2025","18.100","17.550","18.100","17.900","2.37M","3.13%"
"05/11/2025","17.550","17.950","18.200","17.550","3.45M","-2.23%"
"04/11/2025","17.950","18.000","18.300","17.950","6.02M","-0.28%"
"03/11/2025","18.000","18.500","18.350","17.850","9.11M","-2.70%"
"31/10/2025","18.500","18.000","18.500","18.050","3.28M","2.78%"
"30/10/2025","18.000","18.500","18.800","18.000","9.79M","-2.70%"
"29/10/2025","18.500","18.500","18.500","18.350","3.23M","0.00%"
"28/10/2025","18.500","18.000","18.650","18.000","5.05M","2.78%"
"27/10/2025","18.000","18.200","18.100","18.000","5.65M","-1.10%"
"24/10/2025","18.200","18.600","18.350","18.000","7.39M","-2.15%"
"23/10/2025","18.600","18.700","18.600","18.500","3.32M","-0.53%"
"22/10/2025","18.700","18.500","18.700","18.550","1.51M","1.08%"
"21/10/2025","18.500","18.500","18.700","18.500","2.80M","0.00%"
"20/10/2025","18.500","18.500","18.650","18.500","4.38M","0.00%"
"17/10/2025","18.500","18.700","18.900","18.500","6.65M","-1.07%"
"16/10/2025","18.700","18.600","18.800","18.500","6.79M","0.54%"
"15/10/2025","18.600","19.000","19.000","18.500","6.31M","-2.11%"
"14/10/2025","19.000","19.450","19.600","19.000","2.20M","-2.31%"
"13/10/2025","19.450","19.600","19.650","19.450","4.58M","-0.77%"
"10/10/2025","19.600","19.550","19.600","19.400","3.94M","0.26%"
"09/10/2025","19.550","19.550","19.550","19.550","4.00M","0.00%"
"08/10/2025","19.550","19.100","19.550","19.100","6.54M","2.36%"
"07/10/2025","19.100","18.800","19.100","18.900","2.73M","1.60%"
"06/10/2025","18.800","18.700","18.800","18.550","5.00M","0.53%"
"03/10/2025","18.700","19.000","19.000","18.700","4.67M","-1.58%"
"02/10/2025","19.000","18.900","19.000","19.000","1.36M","0.53%"
"30/09/2025","18.900","18.900","18.900","18.900","1.17M","0.00%"
"29/09/2025","18.900","18.600","18.900","18.700","2.06M","1.61%"
"26/09/2025","18.600","18.900","19.000","18.600","3.00M","-1.59%"
"25/09/2025","18.900","18.900","20.000","18.900","2.01M","0.00%"
"24/09/2025","18.900","18.950","19.000","18.550","2.71M","-0.26%"
"23/09/2025","18.950","19.100","18.950","18.500","4.68M","-0.79%"
"22/09/2025","19.100","18.950","20.000","19.000","4.19M","0.79%"
"19/09/2025","18.950","20.500","20.350","18.950","4.98M","-7.56%"
"18/09/2025","20.500","19.700","20.500","19.750","7.29M","4.06%"
"17/09/2025","19.700","19.600","19.700","19.600","3.22M","0.51%"
"16/09/2025","19.600","19.550","19.600","19.350","3.22M","0.26%"
"15/09/2025","19.550","18.900","19.550","19.000","4.86M","3.44%"
"12/09/2025","18.900","19.500","20.000","18.800","7.38M","-3.08%"
"11/09/2025","19.500","19.200","19.300","19.150","5.88M","1.56%"
"10/09/2025","19.200","18.900","19.200","19.000","5.77M","1.59%"
"09/09/2025","18.900","18.200","18.900","18.550","2.66M","3.85%"
"08/09/2025","18.200","18.100","18.250","18.200","9.53M","0.55%"
"04/09/2025","18.100","18.700","18.800","18.050","10.78M","-3.21%"
"03/09/2025","18.700","18.900","19.250","18.700","3.66M","-1.06%"
"02/09/2025","18.900","18.950","18.950","18.900","4.41M","-0.26%"
"01/09/2025","18.950","19.300","19.000","18.950","3.62M","-1.81%"
"29/08/2025","19.300","19.000","19.450","19.000","3.98M","1.58%"
"28/08/2025","19.000","19.300","19.350","19.000","5.04M","-1.55%"
"27/08/2025","19.300","18.950","19.300","19.000","2.81M","1.85%"
"26/08/2025","18.950","19.000","19.050","18.950","7.26M","0.00%"
"25/08/2025","18.950","19.100","19.100","18.950","7.35M","-0.79%"
"22/08/2025","19.100","19.050","19.300","19.000","6.28M","0.26%"
"21/08/2025","19.050","19.200","19.500","19.050","3.77M","-0.78%"
"20/08/2025","19.200","19.050","19.250","19.050","3.22M","0.79%"
"19/08/2025","19.050","19.500","19.400","19.050","7.52M","-2.31%"
"18/08/2025","19.500","19.250","19.500","19.200","8.86M","1.30%"
"15/08/2025","19.250","19.500","19.500","19.250","4.70M","-1.28%"
"14/08/2025","19.500","20.000","19.950","19.500","7.27M","-2.50%"
"13/08/2025","20.000","19.200","20.150","19.500","6.20M","4.17%"
"12/08/2025","19.200","19.000","19.700","19.200","5.85M","1.05%"
"11/08/2025","19.000","19.300","19.700","19.000","6.03M","-3.06%"
"08/08/2025","19.600","19.900","19.900","19.600","6.88M","-1.51%"
"07/08/2025","19.900","20.200","19.900","19.600","3.47M","-1.49%"
"06/08/2025","20.200","20.200","20.200","19.500","9.61M","0.00%"
"05/08/2025","20.200","20.500","20.500","19.900","9.65M","-1.46%"
"04/08/2025","20.500","19.900","20.500","19.800","6.71M","3.02%"
"01/08/2025","19.900","19.550","19.900","19.450","7.12M","1.79%"
"31/07/2025","19.550","19.900","19.950","19.550","6.60M","-1.76%"
"30/07/2025","19.900","20.800","20.750","19.300","12.44M","-4.33%"
"29/07/2025","20.800","21.000","20.850","20.300","11.98M","-0.95%"
"28/07/2025","21.000","21.100","21.200","20.100","16.72M","-0.47%"
"25/07/2025","21.100","21.000","21.500","21.000","7.95M","0.48%"
"24/07/2025","21.000","20.550","21.100","20.600","7.33M","2.19%"
"23/07/2025","20.550","20.400","20.900","20.550","6.37M","0.74%"
"22/07/2025","20.400","20.450","20.750","20.400","7.61M","-0.24%"
"21/07/2025","20.450","20.550","20.750","20.200","9.89M","-0.49%"
"18/07/2025","20.550","20.350","20.900","20.100","12.94M","0.98%"
"17/07/2025","20.350","20.500","20.900","20.100","12.28M","-0.73%"
"16/07/2025","20.500","21.100","21.100","20.500","9.57M","-2.84%"
"14/07/2025","21.100","21.000","21.300","20.950","11.03M","0.48%"
"11/07/2025","21.000","20.800","21.300","20.800","9.49M","0.96%"
"10/07/2025","20.800","20.800","21.000","20.550","8.00M","0.00%"
"09/07/2025","20.800","20.500","21.000","20.500","9.27M","1.46%"
"08/07/2025","20.500","20.000","20.500","19.950","6.95M","2.50%"
"07/07/2025","20.000","21.000","20.950","20.000","8.67M","-4.76%"
"04/07/2025","21.000","20.800","22.000","20.800","8.34M","0.72%"
"03/07/2025","20.850","20.400","21.000","20.450","4.98M","2.21%"
"02/07/2025","20.400","19.200","20.400","19.500","6.07M","6.25%"
"01/07/2025","19.200","19.050","19.450","19.000","5.38M","0.79%"
"30/06/2025","19.050","19.000","19.150","18.850","7.26M","0.26%"
"27/06/2025","19.000","19.050","20.000","19.000","6.01M","-0.26%"
"26/06/2025","19.050","19.450","20.300","19.000","10.02M","-2.06%"
"25/06/2025","19.450","19.450","19.450","19.450","3.71M","0.00%"
"24/06/2025","19.450","19.350","19.550","19.400","7.00M","0.52%"
"23/06/2025","19.350","19.000","19.350","19.000","6.35M","1.84%"
"20/06/2025","19.000","19.650","19.750","19.000","6.65M","-3.31%"
"19/06/2025","19.650","19.900","19.950","19.250","6.44M","-1.26%"
"18/06/2025","19.900","19.900","20.100","19.600","8.48M","0.00%"
"17/06/2025","19.900","19.150","19.900","19.150","5.92M","3.92%"
"16/06/2025","19.150","19.150","19.200","19.150","7.36M","0.00%"
"13/06/2025","19.150","19.600","19.600","19.150","4.31M","0.00%"
"11/06/2025","19.150","19.000","19.150","19.000","6.45M","0.79%"
"10/06/2025","19.000","19.250","19.300","19.000","8.37M","-1.30%"
"05/06/2025","19.250","19.250","19.250","18.950","7.38M","0.00%"
"04/06/2025","19.250","19.250","19.500","19.250","11.89M","0.00%"
"03/06/2025","19.250","19.100","19.850","19.000","7.88M","-3.51%"
"02/06/2025","19.950","20.000","20.000","19.000","27.18M","-0.25%"
"30/05/2025","20.000","19.200","20.000","19.000","66.84M","4.17%"
"29/05/2025","19.200","18.800","19.200","18.800","9.91M","2.13%"
"28/05/2025","18.800","18.700","18.800","18.750","3.91M","0.53%"
"27/05/2025","18.700","18.500","18.750","18.550","13.99M","1.08%"
"26/05/2025","18.500","18.600","18.600","18.500","11.52M","-0.54%"
"23/05/2025","18.600","18.700","18.600","18.400","5.89M","-0.53%"
"22/05/2025","18.700","18.750","18.700","18.400","6.60M","-0.27%"
"21/05/2025","18.750","18.900","18.900","18.750","5.24M","-0.79%"
"20/05/2025","18.900","18.500","18.900","18.500","26.74M","3.28%"
"19/05/2025","18.300","18.150","18.300","18.200","6.23M","0.83%"
"16/05/2025","18.150","18.000","18.150","18.000","7.21M","0.83%"
"15/05/2025","18.000","18.000","18.200","18.000","3.51M","0.00%"
"14/05/2025","18.000","18.000","18.450","18.000","8.33M","0.00%"
"13/05/2025","18.000","18.000","18.100","17.950","10.79M","0.00%"
"12/05/2025","18.000","17.050","18.100","17.300","6.51M","5.57%"
"09/05/2025","17.050","17.600","18.000","17.050","10.10M","-3.13%"
"08/05/2025","17.600","18.050","18.950","17.600","11.19M","-2.49%"
"07/05/2025","18.050","18.000","18.500","18.000","8.47M","0.28%"
"06/05/2025","18.000","18.200","18.050","17.800","5.57M","-1.10%"
"05/05/2025","18.200","18.250","18.350","18.050","6.90M","-0.27%"
"02/05/2025","18.250","19.500","19.700","18.000","7.61M","-6.41%"
"30/04/2025","19.500","18.250","20.000","18.350","14.08M","6.85%"
"29/04/2025","18.250","18.200","18.500","18.000","10.49M","0.27%"
"28/04/2025","18.200","18.200","18.500","18.100","12.39M","0.00%"
"25/04/2025","18.200","17.050","18.200","17.500","5.11M","6.74%"
"24/04/2025","17.050","16.900","17.300","17.050","5.13M","0.89%"
"23/04/2025","16.900","16.500","17.250","16.500","11.93M","2.42%"
"22/04/2025","16.500","15.350","16.500","15.800","5.41M","7.49%"
"17/04/2025","15.350","14.950","15.350","15.000","4.32M","2.68%"
"16/04/2025","14.950","14.550","15.350","14.700","5.17M","2.75%"
"15/04/2025","14.550","15.200","15.150","14.550","10.03M","-4.28%"
"14/04/2025","15.200","15.250","15.300","15.000","9.89M","-0.33%"
"11/04/2025","15.250","15.250","15.550","15.050","8.09M","0.00%"
"10/04/2025","15.250","14.950","15.650","14.950","7.28M","2.69%"
"09/04/2025","14.850","14.500","15.000","14.500","7.03M","2.41%"
"08/04/2025","14.500","14.550","14.800","13.150","23.31M","-0.34%"
"07/04/2025","14.550","15.200","15.400","14.550","12.17M","-4.28%"
"04/04/2025","15.200","15.200","15.600","15.100","25.61M","0.00%"
"03/04/2025","15.200","15.300","15.800","15.100","21.45M","-0.65%"
"02/04/2025","15.300","16.500","16.900","14.950","25.53M","-7.27%"
"28/03/2025","16.500","16.600","16.600","15.900","12.01M","-0.60%"
"27/03/2025","16.600","16.950","16.750","16.100","7.31M","-2.06%"
"26/03/2025","16.950","16.950","17.000","16.850","11.41M","0.00%"
"25/03/2025","16.950","16.600","17.000","16.500","16.07M","2.11%"
"24/03/2025","16.600","18.300","18.000","16.550","9.89M","-9.29%"
"21/03/2025","18.300","18.200","18.800","18.100","4.24M","0.55%"
"20/03/2025","18.200","18.100","18.200","18.000","8.53M","0.55%"
"19/03/2025","18.100","18.300","18.200","17.600","5.82M","-1.09%"
"18/03/2025","18.300","18.200","18.300","18.000","7.96M","0.55%"
"17/03/2025","18.200","18.450","18.500","18.000","3.87M","-3.96%"
"14/03/2025","18.950","19.200","19.200","18.850","7.17M","-1.30%"
"13/03/2025","19.200","19.300","19.200","18.500","13.60M","-0.52%"
"12/03/2025","19.300","20.300","19.800","18.500","18.28M","-4.93%"
"11/03/2025","20.300","20.500","20.500","20.300","4.39M","-0.98%"
"10/03/2025","20.500","19.950","20.950","20.000","8.18M","2.76%"
"07/03/2025","19.950","18.500","19.950","18.500","14.64M","7.84%"
"06/03/2025","18.500","18.000","18.500","18.000","6.21M","2.78%"
"05/03/2025","18.000","18.500","19.000","18.000","18.85M","-2.70%"
"04/03/2025","18.500","18.500","18.600","18.000","40.53M","-7.50%"
"03/03/2025","20.000","22.200","22.100","20.000","11.66M","-9.91%"
"28/02/2025","22.200","22.100","22.400","22.050","7.42M","0.45%"
"27/02/2025","22.100","22.000","22.150","21.900","8.35M","0.45%"
"26/02/2025","22.000","21.000","22.050","20.900","7.58M","4.76%"
"25/02/2025","21.000","21.850","21.650","21.000","9.07M","-3.89%"
"24/02/2025","21.850","22.550","22.100","21.800","5.13M","-3.10%"
"21/02/2025","22.550","22.600","23.000","22.500","10.39M","-0.22%"
"20/02/2025","22.600","22.900","22.750","22.500","9.10M","-1.31%"
"19/02/2025","22.900","22.600","24.400","22.700","6.80M","1.33%"
"18/02/2025","22.600","22.300","22.650","22.300","11.47M","1.35%"
"17/02/2025","22.300","22.850","22.850","22.050","7.18M","-2.41%"
"14/02/2025","22.850","22.600","23.000","22.500","9.28M","1.11%"
"13/02/2025","22.600","23.050","23.050","22.600","9.10M","-1.95%"
"12/02/2025","23.050","23.000","23.450","23.050","6.45M","0.22%"
"11/02/2025","23.000","23.500","23.950","23.000","9.65M","-2.13%"
"10/02/2025","23.500","23.850","23.950","23.250","10.30M","-1.47%"
"07/02/2025","23.850","22.900","23.850","23.150","10.19M","4.15%"
"06/02/2025","22.900","22.550","22.900","22.550","7.24M","1.55%"
"05/02/2025","22.550","22.500","23.000","22.500","24.78M","0.22%"
"04/02/2025","22.500","22.550","22.550","22.350","6.32M","-0.22%"
"03/02/2025","22.550","22.500","22.550","22.400","10.18M","0.22%"
"31/01/2025","22.500","22.450","22.600","22.500","6.00M","0.22%"
"30/01/2025","22.450","22.500","22.600","22.450","13.72M","-0.22%"
"29/01/2025","22.500","22.850","22.800","22.500","8.07M","-1.53%"
"28/01/2025","22.850","22.500","22.900","22.500","11.58M","1.56%"
"27/01/2025","22.500","22.500","23.000","22.300","11.38M","0.00%"
"24/01/2025","22.500","22.350","22.500","22.350","14.06M","0.67%"
"23/01/2025","22.350","22.200","22.350","22.200","8.04M","0.68%"
"22/01/2025","22.200","22.200","22.400","22.200","4.89M","0.00%"
"21/01/2025","22.200","22.400","22.400","22.100","4.93M","-0.89%"
"20/01/2025","22.400","22.500","22.550","22.400","7.33M","-0.44%"
"17/01/2025","22.500","22.000","22.500","22.000","9.65M","2.27%"
"16/01/2025","22.000","22.000","22.150","22.000","11.89M","0.00%"
"15/01/2025","22.000","22.000","22.300","21.850","7.40M","0.00%"
"14/01/2025","22.000","22.200","22.450","22.000","10.62M","-0.90%"
"13/01/2025","22.200","22.350","22.300","22.000","7.40M","-0.67%"
"10/01/2025","22.350","22.100","22.350","22.000","14.07M","1.13%"
"09/01/2025","22.100","22.200","22.300","22.000","11.79M","-0.45%"
"08/01/2025","22.200","22.200","22.450","22.000","13.47M","0.00%"
"07/01/2025","22.200","23.000","23.000","22.200","12.46M","-3.48%"
"06/01/2025","23.000","23.400","23.500","22.000","19.08M","-1.71%"
"03/01/2025","23.400","22.400","24.600","22.950","15.08M","4.46%"
"02/01/2025","22.400","20.400","22.400","20.350","11.56M","9.80%"
"31/12/2024","20.400","20.500","20.550","20.400","6.26M","-0.49%"
"30/12/2024","20.500","20.200","20.500","20.000","14.48M","1.49%"
"27/12/2024","20.200","19.700","21.300","20.000","13.16M","2.54%"
"24/12/2024","19.700","19.250","19.750","19.300","6.29M","2.34%"
"23/12/2024","19.250","19.000","19.450","18.500","10.45M","1.32%"
"20/12/2024","19.000","18.500","19.000","18.650","7.92M","2.70%"
"19/12/2024","18.500","19.000","19.100","18.500","6.55M","-2.63%"
"18/12/2024","19.000","18.600","19.000","18.700","5.23M","2.15%"
"17/12/2024","18.600","19.100","19.100","18.600","10.85M","-2.62%"
"16/12/2024","19.100","18.650","19.500","18.550","14.33M","2.41%"
"13/12/2024","18.650","18.850","19.000","18.400","12.97M","-1.06%"
"12/12/2024","18.850","17.900","18.850","17.950","8.48M","5.31%"
"11/12/2024","17.900","17.900","17.950","17.900","9.17M","0.00%"
"10/12/2024","17.900","17.900","18.000","17.900","8.41M","0.00%"
"09/12/2024","17.900","18.000","18.100","17.800","12.22M","-0.56%"
"06/12/2024","18.000","18.000","18.000","17.900","9.72M","0.00%"
"05/12/2024","18.000","17.700","18.000","17.700","10.78M","1.69%"
"04/12/2024","17.700","17.400","18.000","17.550","11.33M","1.72%"
"03/12/2024","17.400","17.150","17.500","17.200","7.19M","1.46%"
"02/12/2024","17.150","17.500","17.300","17.100","8.08M","-2.00%"
"29/11/2024","17.500","17.250","17.500","17.100","8.28M","1.45%"
"28/11/2024","17.250","17.350","17.500","17.200","17.20M","-0.58%"
"27/11/2024","17.350","17.300","17.550","17.200","11.59M","0.29%"
"26/11/2024","17.300","17.200","17.550","17.250","13.56M","0.58%"
"25/11/2024","17.200","17.100","17.350","17.000","11.21M","0.58%"
"22/11/2024","17.100","17.000","17.100","16.900","7.21M","0.59%"
"21/11/2024","17.000","17.000","17.200","17.000","7.35M","0.00%"
"20/11/2024","17.000","16.900","17.300","16.900","9.15M","0.59%"
"19/11/2024","16.900","16.800","16.900","16.800","9.86M","0.60%"
"18/11/2024","16.800","16.800","16.950","16.750","10.18M","0.00%"
"15/11/2024","16.800","17.700","17.750","16.800","19.13M","-5.08%"
"14/11/2024","17.700","16.350","17.700","16.500","15.43M","8.26%"
"13/11/2024","16.350","16.000","16.400","15.900","16.29M","2.19%"
"12/11/2024","16.000","14.550","16.900","14.550","76.76M","-0.93%"
"11/11/2024","16.150","16.150","16.150","16.150","11.63M","-9.78%"
"08/11/2024","17.900","17.600","18.000","17.850","3.79M","1.70%"
"07/11/2024","17.600","17.600","17.950","17.600","7.04M","0.00%"
"06/11/2024","17.600","17.500","18.000","17.450","6.14M","0.57%"
"05/11/2024","17.500","17.800","17.800","17.200","8.11M","-1.69%"
"04/11/2024","17.800","17.950","17.900","17.800","4.86M","-0.84%"
"01/11/2024","17.950","18.250","18.200","17.700","7.07M","-1.64%"
"31/10/2024","18.250","18.500","18.350","18.100","5.79M","-1.35%"
"30/10/2024","18.500","18.500","18.650","18.500","2.91M","0.00%"
"29/10/2024","18.500","18.300","18.500","18.250","3.93M","1.09%"
"28/10/2024","18.300","18.050","18.300","18.300","1.67M","1.39%"
"25/10/2024","18.050","18.000","18.300","18.000","8.03M","0.28%"
"24/10/2024","18.000","18.300","18.200","18.000","7.92M","-1.64%"
"23/10/2024","18.300","18.300","18.300","18.300","3.23M","0.00%"
"22/10/2024","18.300","18.500","18.400","18.300","1.79M","-1.08%"
"21/10/2024","18.500","18.400","18.500","18.000","2.61M","0.54%"
"18/10/2024","18.400","18.350","18.400","18.250","1.44M","0.27%"
"17/10/2024","18.350","18.800","18.800","18.250","4.28M","-2.39%"
