Symbol,Mean_Vol,Max_Vol,Min_Vol,GARCH_omega,GARCH_alpha,GARCH_beta,Persistence
DANGCEM,0.2922709180459416,0.7702784905905311,0.0,1.481852831114016,0.1969967847809419,0.47102671540495655,0.6680235001858985
DANGSUG,0.4320426323312313,1.0089918480128715,0.08150967958136827,0.581722248434955,0.1055688755383597,0.8266999866025266,0.9322688621408863
ETI,0.42848110239428705,1.0086263288583224,0.024152294576952553,0.6795805200568699,0.09909897369139312,0.8182505786549563,0.9173495523463494
FCMB,0.4831486063891576,0.9788316609287899,0.08143224226966686,1.3615344884034815,0.2199719187051255,0.6591774074466188,0.8791493261517442
FIDELIT,0.46074587466605416,0.892065356954633,0.06994520921023839,0.7091350335969852,0.17473069401933905,0.7607083994298008,0.9354390934491399
FIRSTHOLD,0.44167249402727027,1.067639378885962,0.08871406559796055,0.6082946030041851,0.2004941375758807,0.7463753823136189,0.9468695198894996
GTCO,0.33928348155095833,0.8873237587489198,0.045928589305365815,0.4020347549235819,0.16867498610631648,0.7669860280658841,0.9356610141722006
GUINNES,0.38764961387346086,0.9959968774724868,0.0,1.1098220277022985,0.13803349891499042,0.7159393796372968,0.8539728785522872
IBTC,0.3642045204040461,0.82782557846063,0.006726269582427066,1.1140548050152006,0.1063163907028828,0.7108383920323068,0.8171547827351896
INTBREW,0.507326341410102,0.9594414275163523,0.08590289744445533,2.7500279501148364,0.15060836106700978,0.6041717603365381,0.7547801214035479
NB,0.3806211809763542,0.9508701802179841,0.0643108315867705,0.559506297762415,0.09055612722773075,0.8261482318466935,0.9167043590744243
NESTLE,0.27400363682675033,0.6434126167624463,0.0,1.1873142363271312,0.0981962936314003,0.5954726864712409,0.6936689801026411
OKOMUOI,0.3455276032424454,0.8203560465952874,0.0,1.336745399946477,0.1797485862924665,0.6163659941526085,0.796114580445075
PRESCO,0.3470240921438807,0.7549368909110497,0.0,1.534160331255009,0.18978339573230452,0.5729833328817163,0.7627667286140208
SEPLAT,0.3151433581653031,0.7746912903455568,0.0,1.4426692932869396,0.10703863244761325,0.6082983762845965,0.7153370087322097
STERLINGNG,0.4677127896109438,1.1379553234523145,0.1037041092958072,0.8245177417869927,0.18242882947183803,0.7357220050790902,0.9181508345509283
TOTAL,0.28902833212302387,0.8082826307971268,0.0,0.4457029207797799,0.12197303346849214,0.7934700342275816,0.9154430676960736
TRANSCO,0.7404210500725418,10.172253933081356,0.12759559426518635,5.339190644330565,0.11055142363998285,0.8894485773056481,1.000000000945631
UBA,0.402994933749679,1.1220044078669524,0.10419884928315515,0.7396311270097313,0.24407991598098866,0.6837033134389783,0.9277832294199669
UCAP,0.46932033522220107,2.0234248253413902,0.11925202174975628,7.115345191609476,0.19678220503121713,0.18111903790576178,0.3779012429369789
WAPCO,0.49512075761968244,1.2632268232787807,0.06368323356684313,0.2726642311730341,0.0784898225302126,0.8967585461615046,0.9752483686917173
ZENITHB,0.3500518027684297,1.2335953838940188,0.07568294061033234,0.6303270462078799,0.22126918713169794,0.6880864361803478,0.9093556233120458
